objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Aquatica","283393","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","141387757","6.93339","7.35625","2.3202","574","12189","thing","Aquatica","1","4","60","60","30","2019","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","282","YEN","","","2026-01-26","Surugaya","1","","","","","","",""
"Architects of the West Kingdom","236457","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117944791","7.51523","7.70996","2.7586","127","43997","thing","Architects of the West Kingdom","1","5","80","80","60","2018","1,2,3,4,5","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","2134","YEN","","","2024-04-03","Surugaya","1","","","","","","",""
"AuZtralia","231581","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","121867085","6.74793","7.33118","2.8905","822","8088","thing","AuZtralia","1","4","120","120","30","2018","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","1600","AUD","","","2024-08-12","surugaya","1","","","","","","",""
"Azul Mini","230802","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","115317640","7.61004","7.71964","1.774","94","177556","thing","Azul","2","4","45","45","30","2023","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","2","","","","Next Move Games","German","2023","German edition"
"Baaaaa!","199030","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","120838949","5.5154","6.58056","1","20427","96","thing","Baaaaa!","1","6","20","20","20","2015","1,2,3,4","1","5–8","","","","","","","standalone","","300","YEN","","","2024-07-04","surugaya","1","","","","","","",""
"Bananagrams","27225","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116852313","6.21775","6.41746","1.2884","2138","29702","thing","Bananagrams","1","8","15","15","15","2006","2,3,4,5,6","3,4,5","8+","No necessary in-game text","","","","","","standalone","","505","YEN","","","2024-03-01","Temu","","","","","","","",""
"Bärenpark","219513","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116590841","7.07205","7.27606","1.659","415","27808","thing","Bärenpark","2","4","45","45","30","2017","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","2860","YEN","","","2024-02-23","","","","","","Lookout Games; Mayfair Games","English; German","2017","English/German first edition"
"Beasts of Balance","185709","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","119079937","5.87706","6.73035","1.2","3985","2575","thing","Beasts of Balance","1","5","30","30","15","2016","1,2,3","2,3","4+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","2295","YEN","","","2024-05-08","Surugaya","1","","","","","","",""
"Beasts of Balance: Hotbelly the Hangry Dragon","255443","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","122950832","5.54557","7.45492","0","0","362","thing","Beasts of Balance: Hotbelly the Hangry Dragon","1","5","30","30","15","2018","","","","","","","","","","expansion","","1455","YEN","","","2024-09-01","","1","","","","","","",""
"Beasts of Balance: The Lalnalion","215342","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","119079978","5.52581","6.95583","0","0","302","thing","Beasts of Balance: The Lalnalion","1","5","30","30","15","2016","","","","","","","","","","expansion","","476","YEN","","","2024-05-08","Surugaya","1","","","","","","",""
"Beat That!","290610","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","115318478","5.65717","6.48269","1.1111","7174","1726","thing","Beat That!","2","8","90","90","30","2019","3,4,5,6,7,8","4","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Beat That!: Household Objects Expansion","374851","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","115318482","0","6.26923","0","0","101","thing","Beat That!: Household Objects Expansion","2","8","90","90","40","2021","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Betrayal at House on the Hill","10547","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","115317786","6.79017","7.01219","2.3997","756","85378","thing","Betrayal at House on the Hill","3","6","60","60","60","2004","3,4,5,6","5,6","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Beyond the Sun","317985","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","119153542","7.56457","7.8711","3.1496","108","19244","thing","Beyond the Sun","2","4","120","120","60","2020","2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","4038","YEN","","","2024-05-08","Surugaya","1","","","","","","",""
"Big City","70","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","121292968","6.19824","6.84918","2.2167","2215","2790","thing","Big City","2","5","60","60","60","1999","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","3000","AUD","","","2024-07-24","surugaya","1","","","","","","",""
"Big City: 20th Anniversary Jumbo Edition – Urban Upgrade","265182","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117740323","5.58015","7.58031","3","0","610","thing","Big City: 20th Anniversary Jumbo Edition – Urban Upgrade","2","5","60","60","45","2019","2,3,4,5","2,3,4","12+","No necessary in-game text","","","","","","expansion","","700","YEN","","","","","1","","","","","","",""
"Bingo","7316","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","115320082","4.11155","3.08642","1.0364","29932","2572","thing","Bingo","2","99","60","60","60","1530","3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31","3,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31","4+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Invicta Games","English","0","Invicta English edition"
"Bitoku","323612","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133925403","7.19889","7.7847","3.7659","303","14925","thing","Bitoku","1","4","120","120","120","2021","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","4050","YEN","","","2025-07-11","surugaya","1","","","","","","",""
"Blokus","2453","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","120392087","6.71","6.8614","1.7332","879","43461","thing","Blokus","2","4","20","20","20","2000","2,4","4","6+","No necessary in-game text","","","","","","standalone","","930","YEN","","","2024-06-13","surugaya","1","","","","","","",""
"The Bloody Inn","180593","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117944882","6.77133","7.07332","2.3468","789","16329","thing","The Bloody Inn","1","4","60","60","30","2015","1,2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","3143","YEN","","","2024-04-03","Surugaya","1","","","","","","",""
"Bounty","1641","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","119152609","5.49325","5.50064","1.6","26630","182","thing","Bounty","2","8","60","60","60","2000","3,4","3,4","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","680","YEN","","","2024-05-08","","1","","","","","","",""
"BrainBox: Art","66366","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","115319727","0","5.33333","1","0","18","thing","BrainBox: Art","1","99","10","10","10","2009","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Brainbox: English","256979","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","115319735","0","5.875","1","0","31","thing","Brainbox: English","1","99","10","10","10","0","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Brass: Birmingham","224517","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","130333392","8.39779","8.56954","3.8656","1","80581","thing","Brass: Birmingham","2","4","120","120","60","2018","2,3,4","3,4","14+","No necessary in-game text","","","","","","standalone","","4377","YEN","","","2025-03-14","Temu","1","","","","","","",""
"Brass: Lancashire","28720","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116167640","7.95877","8.197","3.8481","22","35284","thing","Brass: Lancashire","2","4","120","120","60","2007","2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","4232","YEN","","","2024-02-09","","1","","","","","","",""
"Calico","283155","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117423488","7.25137","7.49148","2.1987","264","40429","thing","Calico","1","4","45","45","30","2020","1,2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","1746","YEN","","","2024-03-10","","1","","","","","","",""
"Camp Pinetop","282246","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","121866913","5.63417","7.1858","2.3333","7839","537","thing","Camp Pinetop","1","5","75","75","60","2020","1,2,3,4,5","1","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","1430","YEN","","","2024-08-06","surugaya","1","","","","","","",""
"Carcassonne","822","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116167752","7.29682","7.41498","1.8859","238","218846","thing","Carcassonne","2","5","45","45","30","2000","2,3,4,5","2","8+","No necessary in-game text","","","","","","standalone","","1472","YEN","","","2024-02-09","","1","","","","","","",""
"Cartographers","263918","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","120209385","7.3946","7.55971","1.8913","178","60884","thing","Cartographers","1","100","45","45","30","2019","1,2,3,4,5,6,7,8","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","1810","YEN","","","2024-06-14","suragaya","1","","","","","","",""
"Cascadia","295947","6","1","0","1","0","0","0","0","0","0","0","3","","","","","","115316635","7.74169","7.89813","1.8428","57","88479","thing","Cascadia","1","4","45","45","30","2021","1,2,3,4","2,3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","6830","USD","","","2024-01-05","","","","","","","","",""
"Castle Combo","416851","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","140038389","7.25849","7.66357","1.7316","257","19539","thing","Castle Combo","2","5","25","25","10","2024","2,3,4","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","1431","YEN","","","2025-12-26","Aliexpress","1","","","","","","",""
"The Castles of Burgundy","84876","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","129332844","8.02657","8.15634","2.9736","15","82871","thing","The Castles of Burgundy","2","4","90","90","30","2011","2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cat in the Box: Deluxe Edition","345972","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","132299389","7.11729","7.44668","2.0349","369","23667","thing","Cat in the Box: Deluxe Edition","2","5","40","40","20","2022","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","1380","YEN","","","2025-05-15","surugaya","1","","","","","","",""
"CATAN","13","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","115317620","6.90477","7.09132","2.2845","608","234680","thing","CATAN","3","4","120","120","60","1995","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Celestial Rainbows","150061","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","119153111","5.49107","4.90938","1.5","26998","77","thing","Celestial Rainbows","2","8","15","15","15","2013","2,3","2,3","5+","No necessary in-game text","","","","","","standalone","","260","YEN","","","2024-05-08","Surugaya","1","","","","","","",""
"Charterstone","197376","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","131863078","6.89375","7.17998","2.8495","619","26801","thing","Charterstone","1","6","75","75","45","2017","2,3,4,5,6","6","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","1600","YEN","","","2025-05-01","","1","","","","","","",""
"Cheating Moth","105593","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","139295267","6.09679","6.407","1.1412","2633","15651","thing","Cheating Moth","3","5","30","30","30","2011","3,4,5","5","6+","No necessary in-game text","","","","","","standalone","","400","YEN","","","2025-12-01","Temu","1","","","","","","",""
"Chess","171","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","115319690","7.03284","7.23355","3.644","456","59829","thing","Chess","2","2","0","0","0","1475","2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Citadels","205398","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","131862910","6.9432","7.23303","2.056","564","31387","thing","Citadels","2","8","60","60","30","2016","3,4,5,6,7","5","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","900","YEN","","","2025-05-01","","1","","","","","","",""
"Clue","1294","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","115318693","5.57228","5.6844","1.6437","10957","41982","thing","Clue","2","6","45","45","45","2023","3,4,5,6","4,5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Hasbro","English","2023","English edition 2023"
"Cluedo?: Card Game","17700","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116852761","5.49912","5.58475","1.1429","25361","508","thing","Cluedo?: Card Game","2","4","30","30","30","1990","3,4","4","8–12","","","","","","","standalone","","328","YEN","","","2024-03-01","Temu","","","","","","","",""
"Codenames","178900","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116097719","7.43151","7.52729","1.2571","161","175978","thing","Codenames","2","8","15","15","15","2015","4,5,6,7,8","6,8","10+","Unplayable in another language","","","","","","standalone","","1307","YEN","","","","","","","","","","","",""
"Codenames: Pictures","198773","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","121867020","7.00013","7.17816","1.2392","487","44499","thing","Codenames: Pictures","2","8","15","15","15","2016","4,5,6,7,8","6","8+","No necessary in-game text","","","","","","standalone","","1000","YEN","","","2024-08-12","TEMU","1","","","","","","",""
"Codinca","131568","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","115318300","5.64803","6.13202","1.4","7417","1672","thing","Codinca","2","4","30","30","30","2012","2,3,4","2,3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Concordia Venus","256916","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","119795042","7.58091","8.25497","3.0183","104","12218","thing","Concordia Venus","2","6","120","120","60","2018","2,3,4,5,6","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","4171","YEN","","","2024-06-01","Suragaya","1","","","","","","",""
"Connect Four","2719","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","115318712","5.04374","5.01126","1.1809","29904","15901","thing","Connect Four","2","2","10","10","10","1974","2","2","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Costa Rica","194100","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","121584707","5.74172","6.20038","1.303","5471","2846","thing","Costa Rica","2","5","45","45","30","2016","2,3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","708","YEN","","","2024-07-31","surugaya","1","","","","","","",""
"Coup","131357","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116098102","6.83148","6.97548","1.4142","708","91374","thing","Coup","2","6","15","15","15","2012","3,4,5,6","5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","603","YEN","","","2024-02-09","","1","","","","","","",""
"Cracked","287655","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","119153446","5.48092","5.30213","1","28213","366","thing","Cracked","2","8","15","15","5","2019","2,3,4,5,6,7,8","4,5","6+","No necessary in-game text","","","","","","standalone","","527","YEN","","","2024-05-08","Surugaya","1","","","","","","",""
"Cranium Cadoo","6420","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","115318781","5.44688","5.30812","1.1915","29416","2249","thing","Cranium Cadoo","2","99","45","45","45","2001","2,3,4,6,8","4","6–12","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"The Crew: Mission Deep Sea","324856","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","121031560","7.81248","8.06288","2.048","43","49039","thing","The Crew: Mission Deep Sea","2","5","20","20","20","2021","3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","500","YEN","","","2024-07-18","surugaya","1","","","","","","",""
"The Crew: The Quest for Planet Nine","284083","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","115318493","7.62297","7.7621","1.9629","89","91484","thing","The Crew: The Quest for Planet Nine","2","5","20","20","20","2019","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cryptid: Urban Legends","343274","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","132486086","5.44394","5.06541","2.4545","29455","1168","thing","Cryptid: Urban Legends","2","2","40","40","20","2022","2","2","12+","No necessary in-game text","","","","","","standalone","","737","YEN","","","2025-05-26","surugaya","1","","","","","","",""
"CryptidsTV","103234","2","0","0","1","0","0","0","0","0","0","0","3","","","","","","115318324","0","5.46667","1.6667","0","41","thing","CryptidsTV","3","8","30","30","30","2011","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"CuBirds","245476","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","139295293","6.56679","6.90343","1.3204","1154","12744","thing","CuBirds","2","5","20","20","20","2018","2,3,4,5","3","8+","No necessary in-game text","","","","","","standalone","","1200","AUD","","","2025-12-01","Temu","1","","","","","","",""
"Cult Following: Not Safe For Worship","265514","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","119153298","0","6.55","0","0","51","thing","Cult Following: Not Safe For Worship","3","8","20","20","10","2018","","","","","","","","","","expansion","","485","YEN","","","2024-05-08","Surugaya","1","","","","","","",""
"Da Vinci's Mancala","23030","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","121584913","5.51578","6.01765","1","20286","251","thing","Da Vinci's Mancala","2","2","20","20","20","2005","","","","","","","","","","standalone","","543","YEN","","","2024-07-31","surugaya","1","","","","","","",""
"Dark Moon","111124","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","131862836","6.37498","6.97246","2.3864","1632","5197","thing","Dark Moon","3","7","75","75","60","2011","4,5,6,7","5,7","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","2210","YEN","","","2025-05-01","","1","","","","","","",""
"Decrypto","225694","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","124751515","7.54886","7.76836","1.8248","115","44433","thing","Decrypto","3","8","45","45","15","2018","4,5,6,7,8","4,6","10+","Unplayable in another language","","","","","","standalone","","1900","YEN","","","","","1","","","","","","",""
"Deep Sea Adventure","169654","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116097444","6.69359","6.87394","1.183","911","35997","thing","Deep Sea Adventure","2","6","30","30","30","2014","3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","506","YEN","","","2024-02-09","","1","","","","","","",""
"Desperados of Dice Town","154600","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","141387326","5.6687","6.1376","1.3778","6882","1719","thing","Desperados of Dice Town","2","4","25","25","25","2014","2,3,4","4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","1045","YEN","","","2026-01-26","Surugaya","1","","","","asmodee; Matagot","English","2014","English-only edition"
"Dice Forge","194594","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116096501","7.00725","7.21241","1.974","482","38099","thing","Dice Forge","2","4","45","45","45","2017","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","3861","YEN","","","2024-02-03","","1","","","","","","",""
"Disney Villainous: The Worst Takes it All","256382","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117423655","6.68344","6.91458","2.4887","926","53305","thing","Disney Villainous: The Worst Takes it All","2","6","120","120","45","2018","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","1756","YEN","","","2024-03-10","Surugaya","1","","","","","","",""
"Dixit","39856","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","115319846","7.06975","7.18491","1.1921","417","106263","thing","Dixit","3","6","30","30","30","2008","4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dixit: The Dictionary Game","22374","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","115319833","0","5.66667","0","0","27","thing","Dixit: The Dictionary Game","2","4","60","60","60","1983","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Dobble","63268","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","115319760","6.36392","6.52897","1.0384","1655","48969","thing","Spot it!","2","8","15","15","15","2023","2,3,4,5,6,7","4,5","4+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Zygomatic","English","2023","English edition 2023"
"Dog Park: European Dogs Expansion","346847","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116590926","5.67302","7.34887","2","0","2296","thing","Dog Park: European Dogs Expansion","1","4","80","80","40","2022","1,2,3,4","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","270","YEN","","","2024-02-23","","","","","","","","",""
"Draftosaurus","264055","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","120391992","6.85712","7.0822","1.2441","668","27093","thing","Draftosaurus","2","5","15","15","15","2019","2,3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","2621","YEN","","","2024-06-13","surugaya","1","","","","","","",""
"Dream Home","194880","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116590952","6.50643","6.85843","1.6515","1288","12054","thing","Dream Home","2","4","30","30","30","2016","2,3,4","3,4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","1634","YEN","","","2024-02-23","","","","","","asmodee; Rebel Sp. z o.o.","English","2016","English edition"
"Duck & Cover","422019","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","141387978","5.97563","6.62225","1.0465","3287","3447","thing","Duck & Cover","2","7","20","20","15","2024","2,3,4,5,6,7","4,6","6+","No necessary in-game text","","","","","","standalone","","35","AUD","","","2025-12-15","Amazon Australia","1","","","","","","",""
"Dune: Imperium","316554","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","130095646","8.22252","8.41406","3.0739","5","75732","thing","Dune: Imperium","1","4","120","120","60","2020","1,2,3,4","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","5280","YEN","","","2025-03-07","surugaya","1","","","","","","",""
"Dune: Imperium – Immortality","367466","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","130095735","7.50074","8.55058","3.3333","0","18552","thing","Dune: Imperium – Immortality","1","4","120","120","60","2022","1,2,3,4","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","3810","YEN","","","2025-03-07","Surugaya","1","","","","","","",""
"Earth","350184","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","122950922","7.35528","7.62564","2.9078","205","33280","thing","Earth","1","5","90","90","45","2023","1,2,3,4","2,3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","5300","YEN","","","2024-09-01","","1","","","","","","",""
"Eclipse: New Dawn for the Galaxy","72125","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","118500682","7.59242","7.81902","3.7059","99","28285","thing","Eclipse: New Dawn for the Galaxy","2","6","180","180","60","2011","2,3,4,5,6","4,6","12+","No necessary in-game text","","","","","","standalone","","3400","YEN","","","2024-04-18","Surugaya","","","","","","","",""
"Ecos: First Continent","279254","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116590777","6.56078","7.11529","2.5678","1168","6957","thing","Ecos: First Continent","2","6","75","75","45","2019","2,3,4","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","3401","YEN","","","","","","","","","Alderac Entertainment Group","English","2019","English edition"
"Ecosystem","271519","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117944924","6.22058","7.05998","1.6207","2127","4616","thing","Ecosystem","2","6","20","20","15","2019","2,3,4,5,6","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","1707","YEN","","","2024-04-03","Surugaya","1","","","","","","",""
"Elephant Ball Balancing Act","420508","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","119153263","0","6.775","2","0","94","thing","Elephant Ball Balancing Act","3","5","60","60","40","2024","3,4,5","3,4","","","","","","","","standalone","","476","YEN","","","2024-05-08","Surugaya","1","","","","","","",""
